signal	command	start_utc	end_utc	exit_code	log_path
G5-002	cargo test -p arco-catalog test_default_policy --lib	2026-02-15T18:23:10Z	2026-02-15T18:23:27Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/command-logs/20260215T182310Z_retention_policy_default_test.log
G5-002	cargo test -p arco-catalog test_valid_policy --lib	2026-02-15T18:23:27Z	2026-02-15T18:23:27Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/command-logs/20260215T182327Z_retention_policy_valid_test.log
G5-002	rg -n "pub struct RetentionPolicy|keep_snapshots: 10|delay_hours: 24|ledger_retention_hours: 48|max_age_days: 90|pub const fn aggressive|pub const fn conservative" crates/arco-catalog/src/gc/policy.rs docs/runbooks/gc-failure.md	2026-02-15T18:23:27Z	2026-02-15T18:23:27Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/command-logs/20260215T182327Z_retention_policy_reference_scan.log
G5-002	cargo test -p arco-catalog test_default_policy --lib	2026-02-15T19:26:12Z	2026-02-15T19:26:24Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/command-logs/20260215T192612Z_retention_policy_default_test_refresh.log
G5-002	cargo test -p arco-catalog test_valid_policy --lib	2026-02-15T19:26:24Z	2026-02-15T19:26:24Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/command-logs/20260215T192624Z_retention_policy_valid_test_refresh.log
G5-002	rg -n "\[PENDING\]|pending" release_evidence/2026-02-12-prod-readiness/gate-5/g5-002-retention-cost-control-policy.md	2026-02-15T19:26:24Z	2026-02-15T19:26:24Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/command-logs/20260215T192624Z_retention_policy_approval_state_scan.log
