signal	command	start_utc	end_utc	exit_code	log_path
G5-006	test -f CHANGELOG.md && test -f RELEASE.md && test -f SECURITY.md	2026-02-15T18:24:51Z	2026-02-15T18:24:51Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T182451Z_release_docs_presence.log
G5-006	rg -n "^## \[Unreleased\]|^## \[0.1.0\]" CHANGELOG.md	2026-02-15T18:24:51Z	2026-02-15T18:24:51Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T182451Z_changelog_sections.log
G5-006	jq ".gates[] | select(.id==1 or .id==4 or .id==5 or .id==7) | {id,name,status,status_reason}" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T18:24:51Z	2026-02-15T18:24:51Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T182451Z_release_gate_snapshot.log
G5-006	find release_evidence/2026-02-12-prod-readiness/gate-5/signoff -maxdepth 2 -type f | sort	2026-02-15T18:24:51Z	2026-02-15T18:24:51Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T182451Z_existing_signoff_artifacts.log
G5-006	test -f CHANGELOG.md && test -f RELEASE.md && test -f SECURITY.md	2026-02-15T19:27:44Z	2026-02-15T19:27:44Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T192744Z_release_docs_presence_refresh.log
G5-006	rg -n "\[PENDING\]|pending" release_evidence/2026-02-12-prod-readiness/gate-5/signoff/g5-006-release-notes-signoff-pack.md	2026-02-15T19:27:44Z	2026-02-15T19:27:44Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T192744Z_signoff_pending_state_scan.log
G5-006	jq -r ".gates[] | select(.id==1 or .id==4 or .id==5 or .id==7) | [.id,.status,.status_reason] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T19:27:44Z	2026-02-15T19:27:44Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/signoff/command-logs/20260215T192744Z_release_gate_snapshot_refresh.log
