signal	command	start_utc	end_utc	exit_code	log_path
G7-002	cargo test -p arco-api --test openapi_contract -- --nocapture	2026-02-15T18:25:19Z	2026-02-15T18:26:26Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T182519Z_openapi_contract_test.log
G7-002	cargo test -p arco-api --test api_integration -- --list	2026-02-15T18:26:26Z	2026-02-15T18:26:30Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T182626Z_api_integration_test_listing.log
G7-002	rg -n "query|mutation|discover|/api/v1/query|admin" crates/arco-api/tests/api_integration.rs crates/arco-api/tests/openapi_contract.rs crates/arco-api/tests/openapi_orchestration_routes.rs | head -n 60	2026-02-15T18:26:30Z	2026-02-15T18:26:30Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T182630Z_integration_scope_scan.log
G7-002	cargo test -p arco-api --test openapi_contract -- --nocapture	2026-02-15T19:28:33Z	2026-02-15T19:29:22Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T192833Z_openapi_contract_test_refresh.log
G7-002	cargo test -p arco-api --test api_integration -- --list	2026-02-15T19:29:22Z	2026-02-15T19:29:25Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T192922Z_api_integration_test_listing_refresh.log
G7-002	missing=0; for v in PROD_API_BASE_URL PROD_API_TOKEN PROD_TENANT PROD_WORKSPACE; do if [ -z "${!v:-}" ]; then echo "missing:$v"; missing=1; fi; done; exit $missing	2026-02-15T19:29:25Z	2026-02-15T19:29:25Z	1	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T192925Z_prod_integration_env_requirements_check.log
