signal	command	start_utc	end_utc	exit_code	log_path
G7-004	find release_evidence/2026-02-12-prod-readiness/gate-5 -maxdepth 3 -type f | sort	2026-02-15T18:26:47Z	2026-02-15T18:26:47Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T182647Z_gate5_artifact_inventory.log
G7-004	find release_evidence/2026-02-12-prod-readiness/final-go -maxdepth 3 -type f | sort	2026-02-15T18:26:47Z	2026-02-15T18:26:47Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T182647Z_final_go_artifact_inventory.log
G7-004	jq -r ".signals[] | select(.id|startswith(\"G5-\") or startswith(\"G7-\")) | [.id,.owner,.status] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T18:26:47Z	2026-02-15T18:26:47Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T182647Z_signal_owner_snapshot.log
G7-004	find release_evidence/2026-02-12-prod-readiness/gate-5 -maxdepth 3 -type f | sort	2026-02-15T19:35:34Z	2026-02-15T19:35:34Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193534Z_gate5_artifact_inventory_refresh.log
G7-004	find release_evidence/2026-02-12-prod-readiness/final-go -maxdepth 3 -type f | sort	2026-02-15T19:35:34Z	2026-02-15T19:35:34Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193534Z_final_go_artifact_inventory_refresh.log
G7-004	jq -r ".signals[] | select(.id|startswith(\"G5-\") or startswith(\"G7-\")) | [.id,.owner,.status] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T19:35:34Z	2026-02-15T19:35:34Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193534Z_signal_owner_snapshot_refresh.log
