step	command	exit_code	utc
jq_dashboard	jq -e . '/Users/ethanurbanski/arco/.worktrees/codex-prod-go-closure-batch3/infra/monitoring/dashboard.json'	0	2026-02-14T04:50:29Z
promtool_check_rules	promtool check rules '/Users/ethanurbanski/arco/.worktrees/codex-prod-go-closure-batch3/infra/monitoring/alerts.yaml'	0	2026-02-14T04:50:30Z
promtool_test_drill	promtool test rules '/Users/ethanurbanski/arco/.worktrees/codex-prod-go-closure-batch3/release_evidence/2026-02-12-prod-readiness/gate-4/observability/observability_gate4_alert_drill.test.yaml'	0	2026-02-14T04:50:30Z
rg_otel_wiring	rg -n 'job_name:|targets:|authorization:|receivers:|exporters:|pipelines:|googlecloud' '/Users/ethanurbanski/arco/.worktrees/codex-prod-go-closure-batch3/infra/monitoring/otel-collector.yaml'	0	2026-02-14T04:50:30Z
