signal	command	start_utc	end_utc	exit_code	log_path
G5-005	test -f docs/runbooks/rollback-drill.md && test -f docs/runbooks/storage-integrity-verification.md	2026-02-15T18:24:01Z	2026-02-15T18:24:01Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T182401Z_rollback_runbook_presence.log
G5-005	bash -n scripts/rollback.sh	2026-02-15T18:24:01Z	2026-02-15T18:24:01Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T182401Z_rollback_script_syntax.log
G5-005	PROJECT_ID=dataverse-dev-471815 ./scripts/rollback.sh --env staging --dry-run --include-compactor	2026-02-15T18:24:01Z	2026-02-15T18:24:04Z	1	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T182401Z_rollback_script_dry_run_attempt.log
G5-005	cargo xtask verify-integrity --dry-run	2026-02-15T18:24:04Z	2026-02-15T18:24:38Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T182404Z_integrity_verifier_dry_run.log
G5-005	test -f docs/runbooks/rollback-drill.md && test -f docs/runbooks/storage-integrity-verification.md	2026-02-15T19:27:01Z	2026-02-15T19:27:01Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T192701Z_rollback_runbook_presence_refresh.log
G5-005	bash -n scripts/rollback.sh	2026-02-15T19:27:01Z	2026-02-15T19:27:01Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T192701Z_rollback_script_syntax_refresh.log
G5-005	PROJECT_ID=dataverse-dev-471815 ./scripts/rollback.sh --env staging --dry-run --include-compactor	2026-02-15T19:27:01Z	2026-02-15T19:27:03Z	1	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T192701Z_rollback_script_dry_run_attempt_refresh.log
G5-005	cargo xtask verify-integrity --dry-run	2026-02-15T19:27:03Z	2026-02-15T19:27:23Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/rollback/command-logs/20260215T192703Z_integrity_verifier_dry_run_refresh.log
