command	exit_code	start_utc	end_utc	cmd
fmt_check	0	2026-02-12T17:02:23Z	2026-02-12T17:02:23Z	cargo fmt --all --check
clippy_workspace	0	2026-02-12T17:02:23Z	2026-02-12T17:03:11Z	cargo clippy --workspace --all-features -- -D warnings
test_workspace_excl_flow_api	0	2026-02-12T17:03:11Z	2026-02-12T17:05:35Z	cargo test --workspace --all-features --exclude arco-flow --exclude arco-api
test_arco_flow_default	0	2026-02-12T17:05:35Z	2026-02-12T17:05:51Z	cargo test -p arco-flow --tests
test_arco_flow_test_utils	0	2026-02-12T17:05:51Z	2026-02-12T17:06:16Z	cargo test -p arco-flow --features test-utils --tests
test_arco_flow_all_features	0	2026-02-12T17:06:16Z	2026-02-12T17:06:42Z	cargo test -p arco-flow --all-features --tests
test_arco_api_all_features	0	2026-02-12T17:06:42Z	2026-02-12T17:08:38Z	cargo test -p arco-api --all-features --tests
test_docs_workspace	0	2026-02-12T17:08:38Z	2026-02-12T17:10:11Z	cargo test --doc --workspace
cargo_deny_all	0	2026-02-12T17:10:11Z	2026-02-12T17:10:13Z	cargo deny check bans licenses sources advisories
buf_lint_proto	0	2026-02-12T17:10:13Z	2026-02-12T17:10:13Z	buf lint proto/
buf_breaking_proto	0	2026-02-12T17:10:13Z	2026-02-12T17:10:13Z	buf breaking proto/ --against '.git#branch=main,subdir=proto'
test_arco_api_default_features	0	2026-02-12T18:05:28Z	2026-02-12T18:05:31Z	cargo test -p arco-api --tests -- --skip parity_m1_ --skip parity_m2_ --skip parity_m3_
